ucr113,ucod,count
1,A021,219
1,A020,128
1,A029,50
1,A022,23
1,A010,2
1,A014,1
2,A039,34
2,A069,9
2,A064,7
2,A066,4
2,A060,3
2,A030,3
2,A033,2
2,A068,2
2,A038,1
2,A065,1
2,A062,1
3,A047,78048
3,A099,13991
3,A090,4411
3,A084,1285
3,A048,843
3,A09,542
3,A049,223
3,A081,128
3,A080,33
3,A044,32
3,A045,30
3,A083,24
3,A072,23
3,A073,14
3,A085,9
3,A071,6
3,A046,4
3,A043,2
3,A082,2
3,A041,1
5,A162,2705
5,A169,1810
5,A165,42
5,A164,11
5,A167,9
5,A168,1
6,A180,853
6,A199,476
6,A170,105
6,A183,43
6,A178,40
6,A188,33
6,A181,16
6,A187,6
6,A198,5
6,A182,4
6,A192,3
6,A179,3
6,A190,3
6,A191,1
7,A379,133
7,A370,35
8,A46,19
8,A38,11
9,A394,452
9,A390,227
9,A391,185
9,A399,19
9,A398,13
9,A392,12
10,A419,368875
10,A415,10925
10,A410,8279
10,A412,4119
10,A403,1555
10,A409,1483
10,A414,1305
10,A402,1219
10,A418,834
10,A401,309
10,A400,292
10,A408,187
10,A411,175
10,A413,110
11,A523,217
11,A521,73
11,A529,35
11,A539,33
11,A520,31
11,A509,19
11,A530,11
11,A527,9
11,A505,6
11,A515,2
11,A504,2
11,A513,1
11,A528,1
11,A514,1
11,A502,1
13,A832,19
13,A833,11
13,A839,5
13,A830,4
13,A835,4
13,A848,2
13,A838,1
13,A849,1
14,B050,4
14,B059,2
14,B052,1
15,B182,74332
15,B169,5075
15,B181,1439
15,B199,729
15,B179,499
15,B159,318
15,B162,241
15,B189,125
15,B171,100
15,B190,30
15,B178,18
15,B188,16
15,B172,10
15,B150,9
15,B180,1
16,B24,24788
16,B238,16598
16,B207,10070
16,B227,8232
16,B201,8053
16,B208,7768
16,B203,5415
16,B212,2949
16,B206,2583
16,B218,2558
16,B232,1983
16,B205,1690
16,B220,1592
16,B222,1529
16,B200,766
16,B210,688
16,B219,565
16,B213,534
16,B211,353
16,B217,315
16,B202,208
16,B209,177
16,B204,94
16,B231,5
17,B54,51
17,B509,17
17,B500,17
17,B508,1
17,B519,1
18,B948,7488
18,A499,5989
18,A490,4906
18,A810,3779
18,B49,3723
18,B99,3226
18,B91,2811
18,A310,2677
18,B942,2467
18,B349,2251
18,B377,1619
18,A498,1545
18,A491,1496
18,B59,1458
18,B004,1288
18,A481,1211
18,A86,1184
18,B348,1128
18,B029,1117
18,A923,1112
18,B441,1105
18,B451,697
18,B449,540
18,A319,509
18,B009,500
18,B259,496
18,B250,493
18,B909,465
18,B332,449
18,A812,431
18,A879,386
18,B378,323
18,B382,296
18,A430,295
18,B399,284
18,A483,281
18,B340,238
18,B258,236
18,B027,219
18,B022,216
18,B387,211
18,B371,209
18,A280,208
18,B020,204
18,B389,202
18,A321,196
18,B270,190
18,B379,186
18,B457,177
18,B374,169
18,B008,164
18,B007,160
18,A439,141
18,B465,140
18,B409,132
18,B341,125
18,A480,121
18,A327,120
18,A89,106
18,B941,105
18,B402,105
18,A488,103
18,B392,103
18,A692,101
18,A819,99
18,B459,94
18,B450,89
18,B440,88
18,B690,87
18,B384,84
18,A492,75
18,A778,72
18,B380,72
18,B019,71
18,B447,64
18,B600,64
18,A770,62
18,B376,61
18,A318,60
18,A872,59
18,B949,58
18,B333,58
18,B023,54
18,B789,54
18,B787,53
18,B407,50
18,A329,49
18,B448,48
18,B334,48
18,B589,47
18,A288,47
18,A420,45
18,A438,44
18,B588,43
18,B370,41
18,B012,40
18,B279,40
18,A35,39
18,B011,39
18,B003,37
18,B572,37
18,B338,36
18,A985,35
18,B460,32
18,A493,30
18,A051,29
18,B461,29
18,B582,28
18,B343,27
18,B479,25
18,A858,24
18,B342,24
18,B86,23
18,A548,21
18,B021,21
18,A829,20
18,A811,19
18,B89,19
18,A630,18
18,A64,18
18,B251,17
18,A78,17
18,A90,16
18,B375,15
18,A429,14
18,A870,13
18,B602,13
18,A309,12
18,A279,12
18,B699,12
18,A427,11
18,B028,11
18,B464,11
18,B381,11
18,A328,10
18,A799,10
18,B002,9
18,B679,9
18,B488,9
18,B269,8
18,A059,8
18,B814,7
18,B659,7
18,B879,7
18,A239,7
18,B780,6
18,B583,6
18,B469,6
18,B388,6
18,B010,6
18,A549,5
18,B462,5
18,A850,5
18,A217,5
18,A207,5
18,A053,5
18,B372,5
18,B344,5
18,B902,5
18,A94,5
18,A428,4
18,B829,4
18,A281,4
18,B832,4
18,A91,4
18,B811,4
18,B468,4
18,A009,4
18,B369,4
18,B431,4
18,B393,4
18,A749,4
18,B001,4
18,B487,3
18,B302,3
18,A938,3
18,B482,3
18,A421,3
18,B271,3
18,B429,3
18,A212,3
18,B427,3
18,B403,3
18,A219,3
18,B408,3
18,B812,3
18,B650,3
18,A251,3
18,B698,2
18,A600,2
18,A888,2
18,B068,2
18,B669,2
18,B252,2
18,B608,2
18,A752,2
18,B069,2
18,A482,2
18,B64,2
18,B75,2
18,B889,2
18,A851,2
18,A601,2
18,B833,2
18,B573,2
18,B391,2
18,B458,2
18,B452,2
18,B601,2
18,B400,2
18,B850,2
18,A282,2
18,A202,2
18,B360,2
18,B900,2
18,B353,2
18,A230,2
18,A984,2
18,B769,2
18,B000,2
18,A431,2
18,B908,2
18,A599,1
18,A791,1
18,B940,1
18,A878,1
18,A962,1
18,B92,1
18,A691,1
18,B483,1
18,B677,1
18,B09,1
18,B888,1
18,B351,1
18,B839,1
18,A55,1
18,B878,1
18,A542,1
18,B07,1
18,B559,1
18,B481,1
18,B550,1
18,A449,1
18,A924,1
18,B083,1
18,B570,1
18,A773,1
18,B851,1
18,B018,1
18,B701,1
18,B453,1
18,A422,1
18,B574,1
18,B681,1
18,B463,1
18,B350,1
18,A267,1
18,A242,1
18,B401,1
18,B394,1
18,B278,1
18,A209,1
18,B383,1
18,B373,1
18,B420,1
18,A690,1
18,A241,1
18,A369,1
18,B439,1
18,B428,1
18,B356,1
18,B354,1
18,B308,1
18,B005,1
18,A70,1
18,B830,1
18,A818,1
18,A99,1
18,A540,1
18,B664,1
18,A920,1
18,A759,1
18,B678,1
18,B085,1
18,A270,1
20,C029,21565
20,C140,17501
20,C069,10397
20,C109,9050
20,C099,8490
20,C119,7136
20,C07,6458
20,C139,2494
20,C089,2160
20,C01,1768
20,C049,1049
20,C12,990
20,C059,771
20,C009,647
20,C051,556
20,C080,389
20,C060,387
20,C050,371
20,C039,320
20,C030,211
20,C062,195
20,C090,180
20,C111,121
20,C052,80
20,C001,79
20,C031,66
20,C024,41
20,C100,38
20,C091,32
20,C131,14
20,C000,12
20,C130,11
20,C058,10
20,C113,10
20,C023,8
20,C020,8
20,C061,7
20,C104,7
20,C132,6
20,C068,5
20,C021,5
20,C022,4
20,C040,4
20,C081,4
20,C103,3
20,C148,3
20,C108,3
20,C112,3
20,C028,2
20,C005,2
20,C138,1
20,C142,1
20,C101,1
20,C004,1
21,C159,155951
21,C155,799
21,C150,101
21,C153,58
21,C151,36
21,C154,30
21,C158,5
21,C152,4
22,C169,115516
22,C160,8836
22,C163,105
22,C164,61
22,C161,19
22,C162,19
22,C165,6
22,C168,4
22,C166,3
23,C189,451882
23,C20,72600
23,C19,31345
23,C210,7351
23,C181,5902
23,C187,3741
23,C180,3403
23,C182,2541
23,C218,899
23,C211,508
23,C184,495
23,C186,494
23,C183,77
23,C185,65
23,C212,38
23,C188,6
24,C220,91986
24,C229,82202
24,C221,52365
24,C222,291
24,C223,251
24,C224,27
24,C227,8
25,C259,403164
25,C250,1027
25,C254,729
25,C253,442
25,C252,192
25,C251,110
25,C258,54
25,C257,10
26,C329,36914
26,C321,2634
26,C320,1261
26,C322,176
26,C323,43
27,C349,1723585
27,C341,5749
27,C343,2441
27,C33,802
27,C340,417
27,C342,390
27,C348,63
28,C439,90336
28,C435,2214
28,C434,1584
28,C437,1510
28,C436,1366
28,C433,953
28,C432,280
28,C430,42
28,C431,26
28,C438,4
29,C509,455537
29,C500,78
29,C504,5
29,C506,5
29,C501,4
29,C508,4
29,C505,3
29,C502,3
29,C503,2
30,C539,44111
30,C530,414
30,C531,7
30,C538,3
31,C55,52064
31,C541,39736
31,C549,721
31,C540,12
31,C543,9
31,C542,8
31,C548,2
32,C56,158964
33,C61,311877
34,C64,144294
34,C65,1899
35,C679,161336
35,C677,251
35,C675,58
35,C670,26
35,C676,12
35,C672,10
35,C671,7
35,C674,6
35,C678,5
35,C673,3
36,C719,147226
36,C717,2373
36,C716,1759
36,C710,1747
36,C709,1127
36,C711,1083
36,C712,1025
36,C729,606
36,C713,547
36,C720,505
36,C718,270
36,C700,254
36,C714,152
36,C715,136
36,C723,40
36,C725,33
36,C701,14
36,C721,7
36,C724,3
36,C722,2
36,C728,2
38,C819,12904
38,C811,153
38,C817,39
38,C812,27
38,C810,11
38,C813,8
39,C859,150224
39,C851,22848
39,C833,18891
39,C845,9681
39,C831,8782
39,C829,4247
39,C837,2718
39,C830,2297
39,C844,1405
39,C840,901
39,C835,723
39,C838,660
39,C850,449
39,C839,347
39,C841,141
39,C832,114
39,C822,80
39,C834,78
39,C857,55
39,C820,43
39,C827,29
39,C836,27
39,C821,20
39,C842,5
39,C843,4
40,C920,98086
40,C911,49326
40,C959,32566
40,C950,21303
40,C910,15918
40,C921,11478
40,C927,4736
40,C929,2782
40,C919,2331
40,C951,1935
40,C925,1650
40,C924,1632
40,C914,1211
40,C915,1106
40,C930,1057
40,C913,527
40,C947,344
40,C923,313
40,C917,268
40,C940,160
40,C931,142
40,C939,131
40,C942,87
40,C957,57
40,C945,52
40,C943,37
40,C944,10
40,C941,9
40,C922,8
40,C912,5
40,C952,3
40,C937,1
41,C900,123154
41,C880,3402
41,C901,1231
41,C902,1063
41,C889,8
41,C882,7
41,C883,4
41,C881,2
42,C969,598
42,C967,84
42,C961,77
42,C962,52
42,C960,4
43,C80,286570
43,C97,49119
43,C798,36882
43,C499,35730
43,C787,22981
43,C23,22840
43,C459,22234
43,C73,18632
43,C449,15423
43,C444,12789
43,C269,11417
43,C419,11357
43,C519,10468
43,C249,7873
43,C793,7812
43,C482,7639
43,C762,7507
43,C170,7349
43,C240,6773
43,C760,6001
43,C786,5506
43,C179,5237
43,C749,5134
43,C795,4757
43,C52,4558
43,C629,4122
43,C66,4095
43,C494,3698
43,C260,3436
43,C780,3018
43,C609,2801
43,C457,2774
43,C443,2647
43,C492,2618
43,C570,2596
43,C37,2588
43,C763,2452
43,C579,2428
43,C689,2357
43,C319,2356
43,C480,2349
43,C680,2197
43,C699,1926
43,C310,1808
43,C450,1778
43,C241,1707
43,C782,1694
43,C767,1447
43,C495,1231
43,C451,1210
43,C442,1202
43,C411,1169
43,C383,1134
43,C490,1051
43,C412,964
43,C761,933
43,C740,932
43,C493,908
43,C479,876
43,C384,760
43,C380,757
43,C402,652
43,C414,622
43,C445,611
43,C300,609
43,C491,585
43,C410,575
43,C788,550
43,C447,522
43,C399,499
43,C469,476
43,C172,463
43,C696,461
43,C446,449
43,C171,446
43,C481,437
43,C785,422
43,C741,373
43,C759,368
43,C639,361
43,C751,334
43,C779,303
43,C765,303
43,C693,283
43,C311,246
43,C753,236
43,C755,229
43,C261,203
43,C750,189
43,C400,176
43,C58,171
43,C692,157
43,C791,151
43,C510,137
43,C695,135
43,C794,134
43,C632,133
43,C496,130
43,C781,123
43,C764,123
43,C313,121
43,C413,115
43,C577,108
43,C441,98
43,C694,97
43,C792,90
43,C796,80
43,C770,78
43,C790,69
43,C574,68
43,C301,66
43,C440,44
43,C467,42
43,C578,33
43,C772,33
43,C452,32
43,C768,32
43,C248,31
43,C312,31
43,C268,30
43,C631,29
43,C797,28
43,C390,26
43,C601,25
43,C475,23
43,C754,22
43,C771,21
43,C472,20
43,C473,17
43,C471,17
43,C752,16
43,C784,16
43,C783,16
43,C403,16
43,C773,15
43,C690,15
43,C637,15
43,C630,12
43,C512,12
43,C774,11
43,C573,10
43,C409,9
43,C381,9
43,C460,8
43,C470,8
43,C498,8
43,C401,8
43,C173,8
43,C600,7
43,C474,7
43,C602,6
43,C691,6
43,C775,5
43,C698,3
43,C418,3
43,C178,3
43,C463,2
43,C476,2
43,C462,2
43,C688,2
43,C621,2
43,C398,2
43,C511,2
43,C620,1
43,C478,1
43,C758,1
43,C488,1
43,C571,1
43,C468,1
43,C448,1
43,C778,1
43,C388,1
43,C382,1
43,C681,1
43,C608,1
43,C572,1
44,D469,65136
44,D432,25626
44,D471,13757
44,D381,6711
44,D329,6335
44,D489,3734
44,D481,3141
44,D377,2985
44,D45,2907
44,D487,2679
44,D320,2292
44,D376,2154
44,D430,1392
44,D414,1373
44,D374,1292
44,D464,1210
44,D479,953
44,D410,911
44,D371,887
44,D472,883
44,D431,838
44,D352,817
44,D370,728
44,D443,706
44,D391,642
44,D332,595
44,D486,593
44,D180,543
44,D444,525
44,D480,511
44,D151,484
44,D379,419
44,D390,379
44,D150,372
44,D350,369
44,D375,342
44,D372,337
44,D473,333
44,D181,327
44,D434,309
44,D400,302
44,D383,300
44,D259,294
44,D333,277
44,D126,275
44,D369,256
44,D439,248
44,D380,246
44,D361,237
44,D137,230
44,D134,196
44,D219,193
44,D441,152
44,D429,143
44,D462,139
44,D484,138
44,D483,129
44,D239,129
44,D27,120
44,D449,106
44,D447,104
44,D482,103
44,D445,103
44,D136,97
44,D022,96
44,D385,94
44,D386,93
44,D440,93
44,D485,88
44,D351,83
44,D397,82
44,D330,77
44,D143,69
44,D382,65
44,D177,64
44,D367,62
44,D412,59
44,D420,57
44,D467,57
44,D179,53
44,D010,52
44,D131,51
44,D169,49
44,D399,48
44,D321,48
44,D132,45
44,D477,43
44,D373,43
44,D090,41
44,D059,38
44,D165,35
44,D331,34
44,D300,33
44,D099,32
44,D015,31
44,D448,31
44,D141,30
44,D135,30
44,D446,28
44,D461,25
44,D075,24
44,D334,24
44,D401,24
44,D413,21
44,D339,21
44,D34,20
44,D384,19
44,D140,19
44,D419,18
44,D269,18
44,D128,17
44,D164,17
44,D166,16
44,D392,16
44,D120,16
44,D002,15
44,D214,15
44,D001,15
44,D130,15
44,D051,14
44,D407,14
44,D144,14
44,D121,14
44,D237,13
44,D303,12
44,D110,12
44,D433,12
44,D411,12
44,D409,12
44,D142,11
44,D463,11
44,D139,11
44,D442,11
44,D201,11
44,D069,10
44,D235,10
44,D291,10
44,D038,9
44,D017,9
44,D000,9
44,D229,8
44,D470,8
44,D354,8
44,D071,8
44,D049,8
44,D157,8
44,D314,7
44,D119,7
44,D020,7
44,D122,7
44,D073,7
44,D125,7
44,D421,6
44,D210,6
44,D234,6
44,D109,5
44,D101,5
44,D103,5
44,D190,5
44,D292,4
44,D175,4
44,D316,4
44,D127,4
44,D282,4
44,D092,4
44,D236,4
44,D091,4
44,D174,4
44,D024,4
44,D097,3
44,D212,3
44,D133,3
44,D043,3
44,D106,3
44,D036,3
44,D437,3
44,D199,3
44,D093,3
44,D012,3
44,D24,3
44,D152,3
44,D309,2
44,D359,2
44,D129,2
44,D013,2
44,D039,2
44,D313,2
44,D037,2
44,D045,2
44,D044,2
44,D260,2
44,D042,2
44,D319,2
44,D287,2
44,D072,2
44,D251,2
44,D074,1
44,D213,1
44,D225,1
44,D047,1
44,D104,1
44,D191,1
44,D417,1
44,D046,1
44,D021,1
44,D200,1
44,D019,1
44,D280,1
44,D231,1
44,D117,1
44,D105,1
44,D215,1
44,D302,1
44,D160,1
44,D159,1
44,D123,1
44,D162,1
44,D172,1
44,D310,1
44,D360,1
44,D232,1
44,D014,1
44,D290,1
44,D168,1
44,D197,1
44,D311,1
44,D261,1
44,D076,1
45,D649,28405
45,D619,10109
45,D571,4198
45,D62,1721
45,D500,1461
45,D589,1402
45,D570,1150
45,D591,1094
45,D509,687
45,D648,470
45,D510,432
45,D593,300
45,D539,288
45,D610,209
45,D643,184
45,D530,174
45,D599,126
45,D609,126
45,D573,112
45,D595,107
45,D561,99
45,D508,99
45,D569,97
45,D572,96
45,D594,93
45,D529,92
45,D613,69
45,D582,69
45,D580,45
45,D560,33
45,D531,28
45,D519,22
45,D568,10
45,D644,8
45,D611,6
