ucod,Desc
A192,Tuberculosis
A199,Tuberculosis
A162,Tuberculosis
A188,Tuberculosis
A170,Tuberculosis
A181,Tuberculosis
A182,Tuberculosis
A169,Tuberculosis
A180,Tuberculosis
A191,Tuberculosis
A187,Tuberculosis
A190,Tuberculosis
A183,Tuberculosis
A165,Tuberculosis
A168,Tuberculosis
A167,Tuberculosis
A178,Tuberculosis
A164,Tuberculosis
A179,Tuberculosis
A198,Tuberculosis
A529,Syphilis
A521,Syphilis
A502,Syphilis
A514,Syphilis
A528,Syphilis
A523,Syphilis
A509,Syphilis
A513,Syphilis
A530,Syphilis
A504,Syphilis
A527,Syphilis
A520,Syphilis
A539,Syphilis
A505,Syphilis
A515,Syphilis
B206,Human immunodeficiency virus (HIV) disease
B24,Human immunodeficiency virus (HIV) disease
B202,Human immunodeficiency virus (HIV) disease
B207,Human immunodeficiency virus (HIV) disease
B209,Human immunodeficiency virus (HIV) disease
B227,Human immunodeficiency virus (HIV) disease
B208,Human immunodeficiency virus (HIV) disease
B222,Human immunodeficiency virus (HIV) disease
B203,Human immunodeficiency virus (HIV) disease
B220,Human immunodeficiency virus (HIV) disease
B201,Human immunodeficiency virus (HIV) disease
B200,Human immunodeficiency virus (HIV) disease
B205,Human immunodeficiency virus (HIV) disease
B219,Human immunodeficiency virus (HIV) disease
B232,Human immunodeficiency virus (HIV) disease
B211,Human immunodeficiency virus (HIV) disease
B204,Human immunodeficiency virus (HIV) disease
B231,Human immunodeficiency virus (HIV) disease
B238,Human immunodeficiency virus (HIV) disease
B210,Human immunodeficiency virus (HIV) disease
B217,Human immunodeficiency virus (HIV) disease
B212,Human immunodeficiency virus (HIV) disease
B218,Human immunodeficiency virus (HIV) disease
B213,Human immunodeficiency virus (HIV) disease
C165,Malignant neoplasm of stomach
C160,Malignant neoplasm of stomach
C163,Malignant neoplasm of stomach
C168,Malignant neoplasm of stomach
C162,Malignant neoplasm of stomach
C169,Malignant neoplasm of stomach
C164,Malignant neoplasm of stomach
C161,Malignant neoplasm of stomach
C166,Malignant neoplasm of stomach
C189,Malignant neoplasms of colon rectum and anus
C180,Malignant neoplasms of colon rectum and anus
C20,Malignant neoplasms of colon rectum and anus
C181,Malignant neoplasms of colon rectum and anus
C218,Malignant neoplasms of colon rectum and anus
C188,Malignant neoplasms of colon rectum and anus
C187,Malignant neoplasms of colon rectum and anus
C186,Malignant neoplasms of colon rectum and anus
C210,Malignant neoplasms of colon rectum and anus
C212,Malignant neoplasms of colon rectum and anus
C182,Malignant neoplasms of colon rectum and anus
C184,Malignant neoplasms of colon rectum and anus
C183,Malignant neoplasms of colon rectum and anus
C19,Malignant neoplasms of colon rectum and anus
C211,Malignant neoplasms of colon rectum and anus
C185,Malignant neoplasms of colon rectum and anus
C257,Malignant neoplasm of pancreas
C250,Malignant neoplasm of pancreas
C259,Malignant neoplasm of pancreas
C253,Malignant neoplasm of pancreas
C252,Malignant neoplasm of pancreas
C251,Malignant neoplasm of pancreas
C258,Malignant neoplasm of pancreas
C254,Malignant neoplasm of pancreas
C341,Malignant neoplasms of trachea bronchus and lung
C342,Malignant neoplasms of trachea bronchus and lung
C33,Malignant neoplasms of trachea bronchus and lung
C349,Malignant neoplasms of trachea bronchus and lung
C343,Malignant neoplasms of trachea bronchus and lung
C340,Malignant neoplasms of trachea bronchus and lung
C348,Malignant neoplasms of trachea bronchus and lung
C504,Malignant neoplasm of breast
C509,Malignant neoplasm of breast
C503,Malignant neoplasm of breast
C505,Malignant neoplasm of breast
C502,Malignant neoplasm of breast
C501,Malignant neoplasm of breast
C500,Malignant neoplasm of breast
C506,Malignant neoplasm of breast
C508,Malignant neoplasm of breast
C531,Malignant neoplasms of cervix uteri corpus uteri and ovary
C56,Malignant neoplasms of cervix uteri corpus uteri and ovary
C543,Malignant neoplasms of cervix uteri corpus uteri and ovary
C548,Malignant neoplasms of cervix uteri corpus uteri and ovary
C549,Malignant neoplasms of cervix uteri corpus uteri and ovary
C542,Malignant neoplasms of cervix uteri corpus uteri and ovary
C541,Malignant neoplasms of cervix uteri corpus uteri and ovary
C538,Malignant neoplasms of cervix uteri corpus uteri and ovary
C539,Malignant neoplasms of cervix uteri corpus uteri and ovary
C540,Malignant neoplasms of cervix uteri corpus uteri and ovary
C55,Malignant neoplasms of cervix uteri corpus uteri and ovary
C530,Malignant neoplasms of cervix uteri corpus uteri and ovary
C61,Malignant neoplasm of prostate
C681,Malignant neoplasms of urinary tract
C64,Malignant neoplasms of urinary tract
C676,Malignant neoplasms of urinary tract
C689,Malignant neoplasms of urinary tract
C671,Malignant neoplasms of urinary tract
C674,Malignant neoplasms of urinary tract
C679,Malignant neoplasms of urinary tract
C672,Malignant neoplasms of urinary tract
C688,Malignant neoplasms of urinary tract
C677,Malignant neoplasms of urinary tract
C670,Malignant neoplasms of urinary tract
C675,Malignant neoplasms of urinary tract
C678,Malignant neoplasms of urinary tract
C673,Malignant neoplasms of urinary tract
C680,Malignant neoplasms of urinary tract
C66,Malignant neoplasms of urinary tract
C65,Malignant neoplasms of urinary tract
C833,Non-Hodgkins lymphoma
C834,Non-Hodgkins lymphoma
C842,Non-Hodgkins lymphoma
C845,Non-Hodgkins lymphoma
C829,Non-Hodgkins lymphoma
C821,Non-Hodgkins lymphoma
C859,Non-Hodgkins lymphoma
C840,Non-Hodgkins lymphoma
C835,Non-Hodgkins lymphoma
C830,Non-Hodgkins lymphoma
C844,Non-Hodgkins lymphoma
C841,Non-Hodgkins lymphoma
C837,Non-Hodgkins lymphoma
C827,Non-Hodgkins lymphoma
C820,Non-Hodgkins lymphoma
C851,Non-Hodgkins lymphoma
C831,Non-Hodgkins lymphoma
C850,Non-Hodgkins lymphoma
C843,Non-Hodgkins lymphoma
C822,Non-Hodgkins lymphoma
C832,Non-Hodgkins lymphoma
C838,Non-Hodgkins lymphoma
C836,Non-Hodgkins lymphoma
C839,Non-Hodgkins lymphoma
C857,Non-Hodgkins lymphoma
C939,Leukemia
C929,Leukemia
C920,Leukemia
C947,Leukemia
C959,Leukemia
C917,Leukemia
C950,Leukemia
C931,Leukemia
C957,Leukemia
C921,Leukemia
C923,Leukemia
C925,Leukemia
C940,Leukemia
C924,Leukemia
C910,Leukemia
C919,Leukemia
C942,Leukemia
C952,Leukemia
C943,Leukemia
C944,Leukemia
C930,Leukemia
C915,Leukemia
C912,Leukemia
C914,Leukemia
C911,Leukemia
C937,Leukemia
C951,Leukemia
C927,Leukemia
C945,Leukemia
C941,Leukemia
C913,Leukemia
C922,Leukemia
C439,Other malignant neoplasms
C73,Other malignant neoplasms
C104,Other malignant neoplasms
C410,Other malignant neoplasms
C402,Other malignant neoplasms
C440,Other malignant neoplasms
C80,Other malignant neoplasms
C961,Other malignant neoplasms
C441,Other malignant neoplasms
C435,Other malignant neoplasms
C031,Other malignant neoplasms
C142,Other malignant neoplasms
C573,Other malignant neoplasms
C774,Other malignant neoplasms
C311,Other malignant neoplasms
C403,Other malignant neoplasms
C810,Other malignant neoplasms
C478,Other malignant neoplasms
C158,Other malignant neoplasms
C220,Other malignant neoplasms
C112,Other malignant neoplasms
C725,Other malignant neoplasms
C693,Other malignant neoplasms
C900,Other malignant neoplasms
C492,Other malignant neoplasms
C720,Other malignant neoplasms
C768,Other malignant neoplasms
C713,Other malignant neoplasms
C691,Other malignant neoplasms
C320,Other malignant neoplasms
C024,Other malignant neoplasms
C400,Other malignant neoplasms
C781,Other malignant neoplasms
C469,Other malignant neoplasms
C729,Other malignant neoplasms
C459,Other malignant neoplasms
C004,Other malignant neoplasms
C714,Other malignant neoplasms
C97,Other malignant neoplasms
C148,Other malignant neoplasms
C495,Other malignant neoplasms
C173,Other malignant neoplasms
C229,Other malignant neoplasms
C139,Other malignant neoplasms
C103,Other malignant neoplasms
C411,Other malignant neoplasms
C493,Other malignant neoplasms
C301,Other malignant neoplasms
C519,Other malignant neoplasms
C578,Other malignant neoplasms
C770,Other malignant neoplasms
C159,Other malignant neoplasms
C881,Other malignant neoplasms
C383,Other malignant neoplasms
C479,Other malignant neoplasms
C783,Other malignant neoplasms
C449,Other malignant neoplasms
C467,Other malignant neoplasms
C099,Other malignant neoplasms
C790,Other malignant neoplasms
C419,Other malignant neoplasms
C786,Other malignant neoplasms
C438,Other malignant neoplasms
C700,Other malignant neoplasms
C716,Other malignant neoplasms
C701,Other malignant neoplasms
C442,Other malignant neoplasms
C962,Other malignant neoplasms
C696,Other malignant neoplasms
C795,Other malignant neoplasms
C009,Other malignant neoplasms
C639,Other malignant neoplasms
C119,Other malignant neoplasms
C154,Other malignant neoplasms
C817,Other malignant neoplasms
C023,Other malignant neoplasms
